nome_munic;datahora;casos;casos_novos;obitos;obitos_novos;semana_epidem
São Paulo;25/02/2020;1;0;0;0;9
São Paulo;26/02/2020;1;0;0;0;9
São Paulo;27/02/2020;1;0;0;0;9
São Paulo;28/02/2020;2;1;0;0;9
São Paulo;29/02/2020;2;0;0;0;9
São Paulo;01/03/2020;2;0;0;0;10
São Paulo;02/03/2020;2;0;0;0;10
São Paulo;03/03/2020;2;0;0;0;10
São Paulo;04/03/2020;3;1;0;0;10
São Paulo;05/03/2020;6;3;0;0;10
São Paulo;06/03/2020;6;0;0;0;10
São Paulo;07/03/2020;12;6;0;0;10
São Paulo;08/03/2020;15;3;0;0;11
São Paulo;09/03/2020;15;0;0;0;11
São Paulo;10/03/2020;18;3;0;0;11
São Paulo;11/03/2020;29;11;0;0;11
São Paulo;12/03/2020;44;15;0;0;11
São Paulo;13/03/2020;44;0;0;0;11
São Paulo;14/03/2020;62;18;0;0;11
São Paulo;15/03/2020;62;0;0;0;12
São Paulo;16/03/2020;145;83;0;0;12
São Paulo;17/03/2020;156;11;1;1;12
São Paulo;18/03/2020;214;58;3;2;12
São Paulo;19/03/2020;259;45;5;2;12
São Paulo;20/03/2020;306;47;9;4;12
São Paulo;21/03/2020;306;0;9;0;12
São Paulo;22/03/2020;306;0;9;0;13
São Paulo;23/03/2020;306;0;9;0;13
São Paulo;24/03/2020;306;0;9;0;13
São Paulo;25/03/2020;722;416;44;35;13
São Paulo;26/03/2020;899;177;53;9;13
São Paulo;27/03/2020;1044;145;62;9;13
São Paulo;28/03/2020;1044;0;62;0;13
São Paulo;29/03/2020;1044;0;62;0;14
São Paulo;30/03/2020;1233;189;103;41;14
São Paulo;31/03/2020;1885;652;121;18;14
São Paulo;01/04/2020;2418;533;144;23;14
São Paulo;02/04/2020;2815;397;164;20;14
São Paulo;03/04/2020;3202;387;186;22;14
São Paulo;04/04/2020;3496;294;212;26;14
São Paulo;05/04/2020;3612;116;220;8;15
São Paulo;06/04/2020;3754;142;244;24;15
São Paulo;07/04/2020;4258;504;296;52;15
São Paulo;08/04/2020;4947;689;339;43;15
São Paulo;09/04/2020;5477;530;384;45;15
São Paulo;10/04/2020;5982;505;409;25;15
São Paulo;11/04/2020;6131;149;422;13;15
São Paulo;12/04/2020;6352;221;445;23;16
São Paulo;13/04/2020;6418;66;456;11;16
São Paulo;14/04/2020;6705;287;512;56;16
São Paulo;15/04/2020;7764;1059;558;46;16
São Paulo;16/04/2020;7908;144;603;45;16
São Paulo;17/04/2020;8744;836;643;40;16
São Paulo;18/04/2020;9428;684;686;43;16
São Paulo;19/04/2020;9668;240;700;14;17
São Paulo;20/04/2020;9815;147;715;15;17
São Paulo;21/04/2020;10342;527;753;38;17
São Paulo;22/04/2020;10691;349;778;25;17
São Paulo;23/04/2020;11225;534;912;134;17
São Paulo;24/04/2020;11800;575;1010;98;17
São Paulo;25/04/2020;13098;1298;1099;89;17
São Paulo;26/04/2020;13513;415;1114;15;18
São Paulo;27/04/2020;13989;476;1172;58;18
São Paulo;28/04/2020;15397;1408;1321;149;18
São Paulo;29/04/2020;16638;1241;1439;118;18
São Paulo;30/04/2020;18149;1511;1522;83;18
São Paulo;01/05/2020;19087;938;1607;85;18
São Paulo;02/05/2020;19494;407;1661;54;18
São Paulo;03/05/2020;19822;328;1673;12;19
São Paulo;04/05/2020;20073;251;1683;10;19
São Paulo;05/05/2020;21140;1067;1801;118;19
São Paulo;06/05/2020;23187;2047;1910;109;19
São Paulo;07/05/2020;24273;1086;1986;76;19
São Paulo;08/05/2020;25367;1094;2110;124;19
São Paulo;09/05/2020;26787;1420;2223;113;19
São Paulo;10/05/2020;27307;520;2266;43;20
São Paulo;11/05/2020;27771;464;2281;15;20
São Paulo;12/05/2020;28682;911;2405;124;20
São Paulo;13/05/2020;30402;1720;2494;89;20
São Paulo;14/05/2020;31873;1471;2596;102;20
São Paulo;15/05/2020;33992;2119;2674;78;20
São Paulo;16/05/2020;35429;1437;2792;118;20
São Paulo;17/05/2020;35931;502;2835;43;21
São Paulo;18/05/2020;36188;257;2856;21;21
São Paulo;19/05/2020;37640;1452;3029;173;21
São Paulo;20/05/2020;39466;1826;3135;106;21
São Paulo;21/05/2020;41451;1985;3238;103;21
São Paulo;22/05/2020;42973;1522;3352;114;21
São Paulo;23/05/2020;44887;1914;3491;139;21
São Paulo;24/05/2020;45527;640;3534;43;22
São Paulo;25/05/2020;46204;677;3555;21;22
São Paulo;26/05/2020;47554;1350;3691;136;22
São Paulo;27/05/2020;49264;1710;3826;135;22
São Paulo;28/05/2020;52719;3455;3958;132;22
São Paulo;29/05/2020;55741;3022;4116;158;22
São Paulo;30/05/2020;58619;2878;4239;123;22
São Paulo;31/05/2020;60131;1512;4280;41;23
São Paulo;01/06/2020;61126;995;4304;24;23
São Paulo;02/06/2020;64443;3317;4443;139;23
São Paulo;03/06/2020;66777;2334;4564;121;23
São Paulo;04/06/2020;69347;2570;4675;111;23
São Paulo;05/06/2020;71453;2106;4805;130;23
São Paulo;06/06/2020;73861;2408;4901;96;23
São Paulo;07/06/2020;74796;935;4920;19;24
São Paulo;08/06/2020;75699;903;4937;17;24
São Paulo;09/06/2020;78026;2327;5073;136;24
São Paulo;10/06/2020;80457;2431;5232;159;24
São Paulo;11/06/2020;83076;2619;5357;125;24
São Paulo;12/06/2020;85622;2546;5480;123;24
São Paulo;13/06/2020;88025;2403;5599;119;24
São Paulo;14/06/2020;91198;3173;5623;24;25
São Paulo;15/06/2020;93448;2250;5652;29;25
São Paulo;16/06/2020;97676;4228;5819;167;25
São Paulo;17/06/2020;98132;456;5959;140;25
São Paulo;18/06/2020;98530;398;6097;138;25
São Paulo;19/06/2020;105407;6877;6255;158;25
São Paulo;20/06/2020;105591;184;6371;116;25
São Paulo;21/06/2020;106540;949;6387;16;26
São Paulo;22/06/2020;107731;1191;6404;17;26
São Paulo;23/06/2020;110214;2483;6583;179;26
São Paulo;24/06/2020;113261;3047;6675;92;26
São Paulo;25/06/2020;117311;4050;6794;119;26
São Paulo;26/06/2020;121163;3852;6880;86;26
São Paulo;27/06/2020;122759;1596;6982;102;26
São Paulo;28/06/2020;124105;1346;7003;21;27
São Paulo;29/06/2020;125012;907;7026;23;27
São Paulo;30/06/2020;127119;2107;7162;136;27
São Paulo;01/07/2020;129328;2209;7258;96;27
São Paulo;02/07/2020;134984;5656;7370;112;27
São Paulo;03/07/2020;137074;2090;7479;109;27
São Paulo;04/07/2020;137762;688;7597;118;27
São Paulo;05/07/2020;139871;2109;7621;24;28
São Paulo;06/07/2020;140231;360;7634;13;28
São Paulo;07/07/2020;142502;2271;7743;109;28
São Paulo;08/07/2020;144573;2071;7864;121;28
São Paulo;09/07/2020;146739;2166;7964;100;28
São Paulo;10/07/2020;149431;2692;8089;125;28
São Paulo;11/07/2020;151365;1934;8176;87;28
São Paulo;12/07/2020;152806;1441;8212;36;29
São Paulo;13/07/2020;154013;1207;8231;19;29
São Paulo;14/07/2020;158802;4789;8336;105;29
São Paulo;15/07/2020;160326;1524;8451;115;29
São Paulo;16/07/2020;162242;1916;8585;134;29
São Paulo;17/07/2020;163624;1382;8696;111;29
São Paulo;18/07/2020;165094;1470;8770;74;29
São Paulo;19/07/2020;166073;979;8778;8;30
São Paulo;20/07/2020;166348;275;8799;21;30
São Paulo;21/07/2020;167801;1453;8920;121;30
São Paulo;22/07/2020;171119;3318;9025;105;30
São Paulo;23/07/2020;173710;2591;9098;73;30
São Paulo;24/07/2020;176190;2480;9156;58;30
São Paulo;25/07/2020;179115;2925;9205;49;30
São Paulo;26/07/2020;179777;662;9222;17;31
São Paulo;27/07/2020;182027;2250;9241;19;31
São Paulo;28/07/2020;185708;3681;9318;77;31
São Paulo;29/07/2020;188827;3119;9396;78;31
São Paulo;30/07/2020;193684;4857;9470;74;31
São Paulo;31/07/2020;197560;3876;9549;79;31
São Paulo;01/08/2020;199674;2114;9619;70;31
São Paulo;02/08/2020;200444;770;9634;15;32
São Paulo;03/08/2020;200705;261;9644;10;32
São Paulo;04/08/2020;203279;2574;9702;58;32
São Paulo;05/08/2020;206102;2823;9806;104;32
São Paulo;06/08/2020;209559;3457;9909;103;32
São Paulo;07/08/2020;211469;1910;10012;103;32
São Paulo;08/08/2020;213507;2038;10085;73;32
São Paulo;09/08/2020;214094;587;10099;14;33
São Paulo;10/08/2020;214329;235;10107;8;33
São Paulo;11/08/2020;217244;2915;10221;114;33
São Paulo;12/08/2020;224140;6896;10311;90;33
São Paulo;13/08/2020;231203;7063;10453;142;33
São Paulo;14/08/2020;233987;2784;10563;110;33
São Paulo;15/08/2020;235519;1532;10592;29;33
São Paulo;16/08/2020;235866;347;10605;13;34
São Paulo;17/08/2020;236163;297;10625;20;34
São Paulo;18/08/2020;237934;1771;10700;75;34
São Paulo;19/08/2020;240115;2181;10761;61;34
São Paulo;20/08/2020;241764;1649;10863;102;34
São Paulo;21/08/2020;242589;825;10936;73;34
São Paulo;22/08/2020;246492;3903;11003;67;34
São Paulo;23/08/2020;247403;911;11023;20;35
São Paulo;24/08/2020;247730;327;11031;8;35
São Paulo;25/08/2020;250171;2441;11141;110;35
São Paulo;26/08/2020;252063;1892;11215;74;35
São Paulo;27/08/2020;254146;2083;11278;63;35
São Paulo;28/08/2020;256511;2365;11344;66;35
São Paulo;29/08/2020;257528;1017;11398;54;35
São Paulo;30/08/2020;257778;250;11400;2;36
São Paulo;31/08/2020;257949;171;11408;8;36
São Paulo;01/09/2020;260991;3042;11478;70;36
São Paulo;02/09/2020;262570;1579;11554;76;36
São Paulo;03/09/2020;265066;2496;11611;57;36
São Paulo;04/09/2020;266232;1166;11666;55;36
São Paulo;05/09/2020;267477;1245;11717;51;36
São Paulo;06/09/2020;267767;290;11731;14;37
São Paulo;07/09/2020;267926;159;11735;4;37
São Paulo;08/09/2020;268347;421;11740;5;37
São Paulo;09/09/2020;270000;1653;11856;116;37
São Paulo;10/09/2020;271505;1505;11933;77;37
São Paulo;11/09/2020;272857;1352;12003;70;37
São Paulo;12/09/2020;274173;1316;12048;45;37
São Paulo;13/09/2020;274467;294;12057;9;38
São Paulo;14/09/2020;274740;273;12068;11;38
São Paulo;15/09/2020;276241;1501;12128;60;38
São Paulo;16/09/2020;277683;1442;12213;85;38
São Paulo;17/09/2020;279193;1510;12266;53;38
São Paulo;18/09/2020;280774;1581;12308;42;38
São Paulo;19/09/2020;282217;1443;12376;68;38
São Paulo;20/09/2020;282498;281;12380;4;39
São Paulo;21/09/2020;282726;228;12384;4;39
São Paulo;22/09/2020;284252;1526;12428;44;39
São Paulo;23/09/2020;285475;1223;12478;50;39
São Paulo;24/09/2020;286862;1387;12504;26;39
São Paulo;25/09/2020;288081;1219;12547;43;39
São Paulo;26/09/2020;289185;1104;12593;46;39
São Paulo;27/09/2020;289308;123;12602;9;40
São Paulo;28/09/2020;289466;158;12605;3;40
São Paulo;29/09/2020;290839;1373;12666;61;40
São Paulo;30/09/2020;292067;1228;12730;64;40
São Paulo;01/10/2020;293210;1143;12797;67;40
São Paulo;02/10/2020;294135;925;12840;43;40
São Paulo;03/10/2020;295234;1099;12891;51;40
São Paulo;04/10/2020;295301;67;12899;8;41
São Paulo;05/10/2020;295425;124;12916;17;41
São Paulo;06/10/2020;296593;1168;12962;46;41
São Paulo;07/10/2020;297583;990;13005;43;41
São Paulo;08/10/2020;298405;822;13056;51;41
São Paulo;09/10/2020;299277;872;13094;38;41
São Paulo;10/10/2020;300487;1210;13124;30;41
São Paulo;11/10/2020;300905;418;13128;4;42
São Paulo;12/10/2020;301021;116;13134;6;42
São Paulo;13/10/2020;301209;188;13142;8;42
São Paulo;14/10/2020;302223;1014;13196;54;42
São Paulo;15/10/2020;303298;1075;13218;22;42
São Paulo;16/10/2020;304364;1066;13265;47;42
São Paulo;17/10/2020;305379;1015;13283;18;42
São Paulo;18/10/2020;305471;92;13290;7;43
São Paulo;19/10/2020;305540;69;13294;4;43
São Paulo;20/10/2020;306428;888;13337;43;43
São Paulo;21/10/2020;307230;802;13358;21;43
São Paulo;22/10/2020;308077;847;13376;18;43
São Paulo;23/10/2020;309507;1430;13395;19;43
São Paulo;24/10/2020;310693;1186;13427;32;43
São Paulo;25/10/2020;311116;423;13431;4;44
São Paulo;26/10/2020;311301;185;13432;1;44
São Paulo;27/10/2020;312632;1331;13451;19;44
São Paulo;28/10/2020;313720;1088;13497;46;44
São Paulo;29/10/2020;315009;1289;13533;36;44
São Paulo;30/10/2020;316265;1256;13581;48;44
São Paulo;31/10/2020;316970;705;13597;16;44
São Paulo;01/11/2020;317215;245;13600;3;45
São Paulo;02/11/2020;317346;131;13605;5;45
São Paulo;03/11/2020;317533;187;13606;1;45
São Paulo;04/11/2020;318533;1000;13660;54;45
São Paulo;05/11/2020;319156;623;13715;55;45
São Paulo;06/11/2020;319156;0;13715;0;45
São Paulo;07/11/2020;319156;0;13715;0;45
São Paulo;08/11/2020;319156;0;13715;0;46
São Paulo;09/11/2020;319156;0;13715;0;46
São Paulo;10/11/2020;324462;5306;13715;0;46
São Paulo;11/11/2020;325408;946;13767;52;46
São Paulo;12/11/2020;327185;1777;13840;73;46
São Paulo;13/11/2020;328953;1768;13840;0;46
São Paulo;14/11/2020;330266;1313;13949;109;46
São Paulo;15/11/2020;330566;300;13952;3;47
São Paulo;16/11/2020;330753;187;13958;6;47
São Paulo;17/11/2020;333009;2256;14007;49;47
São Paulo;18/11/2020;334733;1724;14067;60;47
São Paulo;19/11/2020;336703;1970;14101;34;47
São Paulo;20/11/2020;338989;2286;14140;39;47
São Paulo;21/11/2020;340537;1548;14169;29;47
São Paulo;22/11/2020;341035;498;14175;6;48
São Paulo;23/11/2020;341340;305;14179;4;48
São Paulo;24/11/2020;342822;1482;14216;37;48
São Paulo;25/11/2020;345445;2623;14261;45;48
São Paulo;26/11/2020;346655;1210;14308;47;48
São Paulo;27/11/2020;347625;970;14340;32;48
São Paulo;28/11/2020;349033;1408;14384;44;48
São Paulo;29/11/2020;349622;589;14394;10;49
São Paulo;30/11/2020;349912;290;14401;7;49
São Paulo;01/12/2020;352144;2232;14470;69;49
São Paulo;02/12/2020;354203;2059;14518;48;49
São Paulo;03/12/2020;356278;2075;14602;84;49
São Paulo;04/12/2020;358390;2112;14637;35;49
São Paulo;05/12/2020;360539;2149;14693;56;49
São Paulo;06/12/2020;361182;643;14698;5;50
São Paulo;07/12/2020;361450;268;14705;7;50
São Paulo;08/12/2020;363495;2045;14761;56;50
São Paulo;09/12/2020;365670;2175;14805;44;50
São Paulo;10/12/2020;367666;1996;14868;63;50
São Paulo;11/12/2020;369620;1954;14906;38;50
São Paulo;12/12/2020;371468;1848;14944;38;50
São Paulo;13/12/2020;371669;201;14968;24;51
São Paulo;14/12/2020;371959;290;14984;16;51
São Paulo;15/12/2020;372875;916;15054;70;51
São Paulo;16/12/2020;372875;0;15054;0;51
São Paulo;17/12/2020;377507;4632;15175;121;51
São Paulo;18/12/2020;379532;2025;15223;48;51
São Paulo;19/12/2020;382030;2498;15266;43;51
São Paulo;20/12/2020;382030;0;15266;0;52
São Paulo;21/12/2020;382760;730;15280;14;52
São Paulo;22/12/2020;385111;2351;15334;54;52
São Paulo;23/12/2020;387524;2413;15384;50;52
São Paulo;24/12/2020;389822;2298;15440;56;52
São Paulo;25/12/2020;390834;1012;15449;9;52
São Paulo;26/12/2020;391257;423;15456;7;52
São Paulo;27/12/2020;391917;660;15463;7;53
São Paulo;28/12/2020;392401;484;15477;14;53
São Paulo;29/12/2020;395846;3445;15541;64;53
São Paulo;30/12/2020;399061;3215;15601;60;53
São Paulo;31/12/2020;401718;2657;15679;78;53
São Paulo;01/01/2021;402835;1117;15695;16;53
São Paulo;02/01/2021;403388;553;15716;21;53
São Paulo;03/01/2021;404025;637;15725;9;1
São Paulo;04/01/2021;404576;551;15743;18;1
São Paulo;05/01/2021;407557;2981;15836;93;1
São Paulo;06/01/2021;410765;3208;15910;74;1
São Paulo;07/01/2021;413892;3127;15970;60;1
São Paulo;08/01/2021;417221;3329;16040;70;1
São Paulo;09/01/2021;419996;2775;16113;73;1
São Paulo;10/01/2021;420939;943;16130;17;2
São Paulo;11/01/2021;421614;675;16142;12;2
São Paulo;12/01/2021;424252;2638;16208;66;2
São Paulo;13/01/2021;427832;3580;16291;83;2
São Paulo;14/01/2021;430702;2870;16388;97;2
São Paulo;15/01/2021;434168;3466;16486;98;2
São Paulo;16/01/2021;437229;3061;16561;75;2
São Paulo;17/01/2021;438369;1140;16580;19;3
São Paulo;18/01/2021;439011;642;16592;12;3
São Paulo;19/01/2021;442477;3466;16667;75;3
São Paulo;20/01/2021;445876;3399;16772;105;3
São Paulo;21/01/2021;448744;2868;16855;83;3
São Paulo;22/01/2021;450460;1716;16915;60;3
São Paulo;23/01/2021;453461;3001;16976;61;3
São Paulo;24/01/2021;454355;894;16988;12;4
São Paulo;25/01/2021;454900;545;17004;16;4
São Paulo;26/01/2021;456067;1167;17023;19;4
São Paulo;27/01/2021;459360;3293;17131;108;4
São Paulo;28/01/2021;462905;3545;17199;68;4
São Paulo;29/01/2021;466172;3267;17250;51;4
São Paulo;30/01/2021;468893;2721;17309;59;4
São Paulo;31/01/2021;469657;764;17333;24;5
São Paulo;01/02/2021;470125;468;17341;8;5
São Paulo;02/02/2021;473263;3138;17412;71;5
São Paulo;03/02/2021;476299;3036;17474;62;5
São Paulo;04/02/2021;479512;3213;17523;49;5
São Paulo;05/02/2021;481934;2422;17583;60;5
São Paulo;06/02/2021;484353;2419;17632;49;5
São Paulo;07/02/2021;485155;802;17650;18;6
São Paulo;08/02/2021;485709;554;17666;16;6
São Paulo;09/02/2021;488446;2737;17759;93;6
São Paulo;10/02/2021;491256;2810;17822;63;6
São Paulo;11/02/2021;493409;2153;17893;71;6
São Paulo;12/02/2021;495938;2529;17954;61;6
São Paulo;13/02/2021;498141;2203;17982;28;6
São Paulo;14/02/2021;498726;585;18000;18;7
São Paulo;15/02/2021;499278;552;18010;10;7
São Paulo;16/02/2021;501625;2347;18081;71;7
São Paulo;17/02/2021;504310;2685;18144;63;7
São Paulo;18/02/2021;506805;2495;18192;48;7
São Paulo;19/02/2021;508944;2139;18236;44;7
São Paulo;20/02/2021;511095;2151;18286;50;7
São Paulo;21/02/2021;511924;829;18306;20;8
São Paulo;22/02/2021;512631;707;18321;15;8
São Paulo;23/02/2021;514913;2282;18391;70;8
São Paulo;24/02/2021;517362;2449;18469;78;8
São Paulo;25/02/2021;519954;2592;18529;60;8
São Paulo;26/02/2021;522087;2133;18573;44;8
São Paulo;27/02/2021;524001;1914;18623;50;8
São Paulo;28/02/2021;524858;857;18642;19;9
São Paulo;01/03/2021;525595;737;18667;25;9
São Paulo;02/03/2021;527515;1920;18769;102;9
São Paulo;03/03/2021;530183;2668;18836;67;9
São Paulo;04/03/2021;532755;2572;18899;63;9
São Paulo;05/03/2021;535617;2862;18973;74;9
São Paulo;06/03/2021;538333;2716;19043;70;9
São Paulo;07/03/2021;539683;1350;19052;9;10
São Paulo;08/03/2021;540750;1067;19117;65;10
São Paulo;09/03/2021;544063;3313;19207;90;10
São Paulo;10/03/2021;547384;3321;19300;93;10
São Paulo;11/03/2021;550654;3270;19387;87;10
São Paulo;12/03/2021;553751;3097;19473;86;10
São Paulo;13/03/2021;556869;3118;19566;93;10
São Paulo;14/03/2021;558514;1645;19600;34;11
São Paulo;15/03/2021;559817;1303;19635;35;11
São Paulo;16/03/2021;563646;3829;19789;154;11
São Paulo;17/03/2021;567617;3971;19897;108;11
São Paulo;18/03/2021;571358;3741;20076;179;11
São Paulo;19/03/2021;575331;3973;20236;160;11
São Paulo;20/03/2021;579380;4049;20352;116;11
São Paulo;21/03/2021;581013;1633;20368;16;12
São Paulo;22/03/2021;582245;1232;20388;20;12
São Paulo;23/03/2021;586394;4149;20634;246;12
São Paulo;24/03/2021;590885;4491;20700;66;12
São Paulo;25/03/2021;595099;4214;20843;143;12
São Paulo;26/03/2021;599340;4241;21131;288;12
