MUNICÍPIO;Doses
ADAMANTINA;91089
ADOLFO;12166
AGUAÍ;93716
AGUDOS;96186
ALAMBARI;14992
ALFREDO MARCONDES;12852
ALTAIR;10910
ALTINÓPOLIS;43198
ALTO ALEGRE;11113
ALUMÍNIO;45846
ALVINLÂNDIA;8539
AMERICANA;579617
AMPARO;196447
AMÉRICO BRASILIENSE;101145
AMÉRICO DE CAMPOS;16384
ANALÂNDIA;11261
ANDRADINA;143498
ANGATUBA;56357
ANHEMBI;18274
ANHUMAS;10326
APARECIDA;95700
APARECIDA D'OESTE;12146
APIAÍ;64085
ARAMINA;15602
ARANDU;18441
ARAPEÍ;6691
ARARAQUARA;636855
ARARAS;326838
ARAÇARIGUAMA;54242
ARAÇATUBA;490827
ARAÇOIABA DA SERRA;92173
ARCO-ÍRIS;5715
AREALVA;22668
AREIAS;11202
AREIÓPOLIS;25666
ARIRANHA;26715
ARTUR NOGUEIRA;123584
ARUJÁ;221706
ASPÁSIA;5453
ASSIS;256658
ATIBAIA;423478
AURIFLAMA;34761
AVANHANDAVA;29075
AVARÉ;261674
AVAÍ;13524
BADY BASSITT;51596
BALBINOS;16062
BANANAL;27424
BARBOSA;16349
BARIRI;75917
BARRA BONITA;93577
BARRA DO CHAPÉU;15255
BARRA DO TURVO;18772
BARRETOS;341478
BARRINHA;79596
BARUERI;734909
BARÃO DE ANTONINA;9923
BASTOS;58295
BATATAIS;162040
BAURU;1002031
BEBEDOURO;236499
BENTO DE ABREU;6931
BERNARDINO DE CAMPOS;40213
BERTIOGA;167731
BILAC;20025
BIRIGUI;280247
BIRITIBA MIRIM;76758
BOA ESPERANÇA DO SUL;36345
BOCAINA;29620
BOFETE;27389
BOITUVA;157041
BOM JESUS DOS PERDÕES;71825
BOM SUCESSO DE ITARARÉ;10107
BORACÉIA;12899
BORBOREMA;39792
BOREBI;6514
BORÁ;2895
BOTUCATU;370122
BRAGANÇA PAULISTA;447149
BRAÚNA;13997
BREJO ALEGRE;7266
BRODOWSKI;61504
BROTAS;61805
BURI;53426
BURITAMA;42702
BURITIZAL;14229
BÁLSAMO;24757
CABREÚVA;122711
CABRÁLIA PAULISTA;13383
CACHOEIRA PAULISTA;77210
CACONDE;49730
CAFELÂNDIA;45165
CAIABU;10712
CAIEIRAS;258893
CAIUÁ;21479
CAJAMAR;223715
CAJATI;81580
CAJOBI;27304
CAJURU;67248
CAMPINA DO MONTE ALEGRE;17540
CAMPINAS;3193288
CAMPO LIMPO PAULISTA;198933
CAMPOS DO JORDÃO;131623
CAMPOS NOVOS PAULISTA;13212
CANANÉIA;32810
CANAS;11015
CANITAR;13112
CAPELA DO ALTO;59462
CAPIVARI;129486
CAPÃO BONITO;120832
CARAGUATATUBA;358407
CARAPICUÍBA;970250
CARDOSO;34193
CASA BRANCA;74595
CASTILHO;49693
CATANDUVA;289451
CATIGUÁ;20359
CAÇAPAVA;250293
CEDRAL;26203
CERQUEIRA CÉSAR;60290
CERQUILHO;117251
CESÁRIO LANGE;47926
CHARQUEADA;41613
CHAVANTES;33314
CLEMENTINA;17482
COLINA;49246
COLÔMBIA;20858
CONCHAL;82480
CONCHAS;42361
CORDEIRÓPOLIS;87380
COROADOS;14084
CORONEL MACEDO;13219
CORUMBATAÍ;10405
COSMORAMA;21832
COSMÓPOLIS;167887
COTIA;640299
CRAVINHOS;89623
CRISTAIS PAULISTA;23840
CRUZEIRO;203776
CRUZÁLIA;5815
CUBATÃO;311639
CUNHA;60559
CÁSSIA DOS COQUEIROS;8829
CÂNDIDO MOTA;79314
CÂNDIDO RODRIGUES;8400
DESCALVADO;78510
DIADEMA;1064684
DIRCE REIS;4960
DIVINOLÂNDIA;31169
DOBRADA;21532
DOIS CÓRREGOS;64135
DOLCINÓPOLIS;6942
DOURADO;24358
DRACENA;113836
DUARTINA;34992
DUMONT;24491
ECHAPORÃ;18489
ELDORADO;38619
ELIAS FAUSTO;48103
ELISIÁRIO;9008
EMBAÚBA;6122
EMBU DAS ARTES;628957
EMBU-GUAÇU;194040
EMILIANÓPOLIS;8319
ENGENHEIRO COELHO;48796
ESPÍRITO SANTO DO PINHAL;112465
ESPÍRITO SANTO DO TURVO;12870
ESTIVA GERBI;25664
ESTRELA D'OESTE;28687
ESTRELA DO NORTE;6487
EUCLIDES DA CUNHA PAULISTA;23020
FARTURA;45284
FERNANDO PRESTES;17046
FERNANDÓPOLIS;189474
FERNÃO;5267
FERRAZ DE VASCONCELOS;436563
FLORA RICA;3819
FLOREAL;9123
FLORÍNEA;12029
FLÓRIDA PAULISTA;33283
FRANCA;863728
FRANCISCO MORATO;448826
FRANCO DA ROCHA;410608
GABRIEL MONTEIRO;7394
GARÇA;112739
GASTÃO VIDIGAL;11277
GAVIÃO PEIXOTO;12709
GENERAL SALGADO;26067
GETULINA;30469
GLICÉRIO;12600
GUAIMBÊ;15530
GUAIÇARA;28966
GUAPIARA;51863
GUAPIAÇU;56118
GUARACI;27814
GUARANI D'OESTE;5727
GUARANTÃ;15935
GUARARAPES;84402
GUARAREMA;84634
GUARATINGUETÁ;287254
GUARAÇAÍ;19218
GUAREÍ;43746
GUARIBA;96422
GUARUJÁ;794988
GUARULHOS;3217924
GUARÁ;51775
GUATAPARÁ;21306
GUAÍRA;117546
GUZOLÂNDIA;13028
GÁLIA;18597
HERCULÂNDIA;21589
HOLAMBRA;41462
HORTOLÂNDIA;586356
IACANGA;27434
IACRI;17794
IARAS;25153
IBATÉ;96918
IBIRAREMA;18503
IBIRÁ;33533
IBITINGA;148231
IBIÚNA;191143
ICÉM;20378
IEPÊ;21726
IGARAPAVA;70738
IGARATÁ;29150
IGARAÇU DO TIETÊ;61152
IGUAPE;81878
ILHA COMPRIDA;34935
ILHA SOLTEIRA;69572
ILHABELA;102440
INDAIATUBA;696380
INDIANA;12717
INDIAPORÃ;11904
INÚBIA PAULISTA;10146
IPAUSSU;33977
IPERÓ;92666
IPEÚNA;17294
IPIGUÁ;16554
IPORANGA;9778
IPUÃ;39170
IRACEMÁPOLIS;64605
IRAPURU;21763
IRAPUÃ;20396
ITABERÁ;51563
ITAJOBI;40090
ITAJU;8839
ITANHAÉM;298659
ITAOCA;10013
ITAPECERICA DA SERRA;471817
ITAPETININGA;391511
ITAPEVA;242857
ITAPEVI;592104
ITAPIRA;194087
ITAPIRAPUÃ PAULISTA;13147
ITAPORANGA;40793
ITAPURA;11792
ITAPUÍ;34855
ITAQUAQUECETUBA;901699
ITARARÉ;118159
ITARIRI;40024
ITATIBA;303016
ITATINGA;52548
ITAÍ;68907
ITIRAPINA;43973
ITIRAPUÃ;17579
ITOBI;19811
ITU;454396
ITUPEVA;170101
ITUVERAVA;116843
ITÁPOLIS;97398
JABORANDI;17706
JABOTICABAL;218446
JACAREÍ;605302
JACI;20416
JACUPIRANGA;43380
JAGUARIÚNA;144091
JALES;132885
JAMBEIRO;15245
JANDIRA;354184
JARDINÓPOLIS;115856
JARINU;84253
JAÚ;340612
JERIQUARA;8420
JOANÓPOLIS;32994
JOSÉ BONIFÁCIO;94981
JOÃO RAMALHO;12421
JUMIRIM;9168
JUNDIAÍ;1142295
JUNQUEIRÓPOLIS;53928
JUQUITIBA;85979
JUQUIÁ;45300
JÚLIO MESQUITA;11588
LAGOINHA;15377
LARANJAL PAULISTA;71917
LAVRINHAS;18682
LAVÍNIA;32618
LEME;250468
LENÇÓIS PAULISTA;167782
LIMEIRA;675729
LINDÓIA;20739
LINS;210209
LORENA;223960
LOURDES;6222
LOUVEIRA;131734
LUCIANÓPOLIS;7287
LUCÉLIA;53312
LUIZIÂNIA;12926
LUPÉRCIO;10768
LUTÉCIA;7553
LUÍS ANTÔNIO;31599
MACATUBA;43393
MACAUBAL;20879
MACEDÔNIA;10979
MAGDA;8647
MAIRINQUE;149350
MAIRIPORÃ;238156
MANDURI;26233
MARABÁ PAULISTA;13729
MARACAÍ;32747
MARAPOAMA;9010
MARINÓPOLIS;5454
MARIÁPOLIS;9395
MARTINÓPOLIS;70794
MARÍLIA;663093
MATÃO;215211
MAUÁ;1146120
MENDONÇA;17434
MERIDIANO;12267
MESÓPOLIS;5503
MIGUELÓPOLIS;51345
MINEIROS DO TIETÊ;35943
MIRA ESTRELA;8110
MIRACATU;59191
MIRANDÓPOLIS;74899
MIRANTE DO PARANAPANEMA;43919
MIRASSOL;144639
MIRASSOLÂNDIA;14934
MOCOCA;194221
MOGI DAS CRUZES;1235940
MOGI GUAÇU;395927
MOGI MIRIM;241430
MOMBUCA;10340
MONGAGUÁ;145657
MONTE ALEGRE DO SUL;22508
MONTE ALTO;118846
MONTE APRAZÍVEL;57810
MONTE AZUL PAULISTA;51814
MONTE CASTELO;10674
MONTE MOR;149341
MONTEIRO LOBATO;13777
MONÇÕES;5986
MORRO AGUDO;75924
MORUNGABA;40087
MOTUCA;13309
MURUTINGA DO SUL;10573
NANTES;6832
NARANDIBA;13476
NATIVIDADE DA SERRA;18210
NAZARÉ PAULISTA;51733
NEVES PAULISTA;27458
NHANDEARA;31779
NIPOÃ;12726
NOVA ALIANÇA;18652
NOVA CAMPINA;25120
NOVA CANAÃ PAULISTA;5893
NOVA CASTILHO;3245
NOVA EUROPA;25675
NOVA GRANADA;53947
NOVA GUATAPORANGA;5911
NOVA INDEPENDÊNCIA;14294
NOVA LUZITÂNIA;9522
NOVA ODESSA;150344
NOVAIS;12970
NOVO HORIZONTE;97922
NUPORANGA;20737
NÃO ESPECIFICADO;0
OCAUÇU;11156
OLÍMPIA;144303
ONDA VERDE;13090
ORIENTE;18092
ORINDIÚVA;17292
ORLÂNDIA;117691
OSASCO;1869048
OSCAR BRESSANE;7636
OSVALDO CRUZ;83160
OURINHOS;272272
OURO VERDE;19336
OUROESTE;29395
PACAEMBU;44237
PALESTINA;27671
PALMARES PAULISTA;27553
PALMEIRA D'OESTE;26924
PALMITAL;62106
PANORAMA;37600
PARAGUAÇU PAULISTA;123759
PARAIBUNA;42373
PARANAPANEMA;51662
PARANAPUÃ;11079
PARAPUÃ;33116
PARAÍSO;16377
PARDINHO;19591
PARIQUERA-AÇU;48691
PARISI;8096
PATROCÍNIO PAULISTA;38442
PAULICÉIA;18446
PAULISTÂNIA;5354
PAULO DE FARIA;24241
PAULÍNIA;282151
PEDERNEIRAS;113015
PEDRA BELA;17814
PEDRANÓPOLIS;7947
PEDREGULHO;42677
PEDREIRA;120392
PEDRINHAS PAULISTA;7754
PEDRO DE TOLEDO;25915
PENÁPOLIS;157097
PEREIRA BARRETO;62073
PEREIRAS;21742
PERUÍBE;204313
PIACATU;15246
PIEDADE;143833
PILAR DO SUL;78474
PINDAMONHANGABA;396748
PINDORAMA;39679
PINHALZINHO;41355
PIQUEROBI;9130
PIQUETE;33662
PIRACAIA;75233
PIRACICABA;1068452
PIRAJU;82235
PIRAJUÍ;56721
PIRANGI;28730
PIRAPORA DO BOM JESUS;56675
PIRAPOZINHO;66929
PIRASSUNUNGA;203530
PIRATININGA;40220
PITANGUEIRAS;87570
PLANALTO;11743
PLATINA;8775
POLONI;14754
POMPÉIA;64002
PONGAÍ;9582
PONTAL;105749
PONTALINDA;11254
PONTES GESTAL;7382
POPULINA;11920
PORANGABA;26907
PORTO FELIZ;141873
PORTO FERREIRA;138396
POTIM;60743
POTIRENDABA;43905
POÁ;303400
PRACINHA;8569
PRADÓPOLIS;47334
PRAIA GRANDE;994779
PRATÂNIA;15879
PRESIDENTE ALVES;10662
PRESIDENTE BERNARDES;44036
PRESIDENTE EPITÁCIO;99418
PRESIDENTE PRUDENTE;601479
PRESIDENTE VENCESLAU;87590
PROMISSÃO;97510
QUADRA;9943
QUATÁ;35532
QUEIROZ;9088
QUELUZ;28202
QUINTANA;18777
RAFARD;27660
RANCHARIA;81298
REDENÇÃO DA SERRA;12086
REGENTE FEIJÓ;49312
REGINÓPOLIS;26429
REGISTRO;165940
RESTINGA;19363
RIBEIRA;10698
RIBEIRÃO BONITO;31774
RIBEIRÃO BRANCO;47437
RIBEIRÃO CORRENTE;11754
RIBEIRÃO DO SUL;13270
RIBEIRÃO DOS ÍNDIOS;5922
RIBEIRÃO GRANDE;24275
RIBEIRÃO PIRES;331363
RIBEIRÃO PRETO;1921114
RIFAINA;10997
RINCÃO;26239
RINÓPOLIS;22551
RIO CLARO;532148
RIO DAS PEDRAS;73086
RIO GRANDE DA SERRA;129811
RIOLÂNDIA;32973
RIVERSUL;16011
ROSANA;44145
ROSEIRA;26282
RUBINÉIA;10271
RUBIÁCEA;7075
SABINO;14683
SAGRES;6284
SALES;16237
SALES OLIVEIRA;30829
SALESÓPOLIS;44244
SALMOURÃO;12289
SALTINHO;20926
SALTO;311160
SALTO DE PIRAPORA;118437
SALTO GRANDE;23472
SANDOVALINA;11441
SANTA ADÉLIA;36177
SANTA ALBERTINA;15971
SANTA BRANCA;41127
SANTA BÁRBARA D'OESTE;461047
SANTA CLARA D'OESTE;6608
SANTA CRUZ DA CONCEIÇÃO;13994
SANTA CRUZ DA ESPERANÇA;6594
SANTA CRUZ DAS PALMEIRAS;79293
SANTA CRUZ DO RIO PARDO;127070
SANTA ERNESTINA;14186
SANTA FÉ DO SUL;89665
SANTA GERTRUDES;60595
SANTA ISABEL;148091
SANTA LÚCIA;21461
SANTA MARIA DA SERRA;14989
SANTA MERCEDES;8781
SANTA RITA D'OESTE;7239
SANTA RITA DO PASSA QUATRO;70220
SANTA ROSA DE VITERBO;63426
SANTA SALETE;4610
SANTANA DA PONTE PENSA;4813
SANTANA DE PARNAÍBA;408203
SANTO ANASTÁCIO;46553
SANTO ANDRÉ;1914091
SANTO ANTÔNIO DA ALEGRIA;18731
SANTO ANTÔNIO DE POSSE;61374
SANTO ANTÔNIO DO ARACANGUÁ;21558
SANTO ANTÔNIO DO JARDIM;15342
SANTO ANTÔNIO DO PINHAL;18791
SANTO EXPEDITO;8816
SANTOS;1256992
SANTÓPOLIS DO AGUAPEÍ;10288
SARAPUÍ;26317
SARUTAIÁ;11367
SEBASTIANÓPOLIS DO SUL;10594
SERRA AZUL;36300
SERRA NEGRA;77346
SERRANA;66999
SERTÃOZINHO;320127
SETE BARRAS;39882
SEVERÍNIA;44578
SILVEIRAS;16687
SOCORRO;106700
SOROCABA;1836498
SUD MENNUCCI;19707
SUMARÉ;708259
SUZANO;828417
SUZANÁPOLIS;11101
SÃO BENTO DO SAPUCAÍ;32562
SÃO BERNARDO DO CAMPO;2223239
SÃO CAETANO DO SUL;474680
SÃO CARLOS;704308
SÃO FRANCISCO;7669
SÃO JOAQUIM DA BARRA;128721
SÃO JOSÉ DA BELA VISTA;19901
SÃO JOSÉ DO BARREIRO;10213
SÃO JOSÉ DO RIO PARDO;138985
SÃO JOSÉ DO RIO PRETO;1268436
SÃO JOSÉ DOS CAMPOS;1892500
SÃO JOÃO DA BOA VISTA;246286
SÃO JOÃO DAS DUAS PONTES;7460
SÃO JOÃO DE IRACEMA;6078
SÃO JOÃO DO PAU D'ALHO;5898
SÃO LOURENÇO DA SERRA;40897
SÃO LUIZ DO PARAITINGA;30639
SÃO MANUEL;93980
SÃO MIGUEL ARCANJO;83157
SÃO PAULO;33527584
SÃO PEDRO;99575
SÃO PEDRO DO TURVO;22925
SÃO ROQUE;228966
SÃO SEBASTIÃO;208446
SÃO SEBASTIÃO DA GRAMA;30425
SÃO SIMÃO;37204
SÃO VICENTE;912110
TABAPUÃ;30230
TABATINGA;38070
TABOÃO DA SERRA;707577
TACIBA;15646
TAGUAÍ;36049
TAIAÇU;16936
TAIÚVA;18522
TAMBAÚ;59726
TANABI;73777
TAPIRATIBA;35309
TAPIRAÍ;21052
TAQUARAL;8207
TAQUARITINGA;146113
TAQUARITUBA;69430
TAQUARIVAÍ;17947
TARABAI;18904
TARUMÃ;36941
TATUÍ;314508
TAUBATÉ;809066
TEJUPÁ;10480
TEODORO SAMPAIO;58440
TERRA ROXA;21588
TIETÊ;99262
TIMBURI;7920
TORRE DE PEDRA;7409
TORRINHA;24909
TRABIJU;4870
TREMEMBÉ;141537
TRÊS FRONTEIRAS;15995
TUIUTI;20295
TUPI PAULISTA;41398
TUPÃ;172294
TURIÚBA;5861
TURMALINA;5622
UBARANA;14937
UBATUBA;245699
UBIRAJARA;13260
UCHOA;25524
UNIÃO PAULISTA;4604
URU;4274
URUPÊS;33975
URÂNIA;22805
VALENTIM GENTIL;36389
VALINHOS;320604
VALPARAÍSO;59933
VARGEM;29352
VARGEM GRANDE DO SUL;103589
VARGEM GRANDE PAULISTA;136989
VERA CRUZ;25348
VINHEDO;206831
VIRADOURO;51220
VISTA ALEGRE DO ALTO;23549
VITÓRIA BRASIL;5389
VOTORANTIM;283141
VOTUPORANGA;260163
VÁRZEA PAULISTA;267718
ZACARIAS;7476
ÁGUAS DA PRATA;21004
ÁGUAS DE LINDÓIA;49762
ÁGUAS DE SANTA BÁRBARA;15783
ÁGUAS DE SÃO PEDRO;11712
ÁLVARES FLORENCE;11423
ÁLVARES MACHADO;66158
ÁLVARO DE CARVALHO;16162
ÓLEO;6902
